TroubleZoneID,ControllerID,Name,Name2,Area1,Area2,Area3,Area4,ZoneType1,ZoneType2,ZoneType3,ZoneType4,LogToEventBuffer,BypassingNotAllowed,LatchBypassingNotAllowed,NoBypassIfAnyAreaArmed,TroubleGroup,TroubleGroupOptions,ReportingID,LastModified,LastModifiedValid,FloorPlan,Module,ModuleAddress,ModuleZone,Created,LastOperator,SEIndex,HostControllerRef,EnableRemoteMonitor,ReportingService,KeypadDisplayName,Commands
10,0,MyController CP1 ReportIP Reporting Failure,MyController CP1 Report IP reporting failure,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,4,520,2022-09-21 13:26:41.660,True,2147483647,1,0,19,2022-09-21 13:26:41.660,Admin,0,0,False,2147483647,,
11,0,MyController CP1 ModBUS Communication Failure,MyController CP1 Modbus communication failure,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,4,522,2022-09-21 13:26:41.680,True,2147483647,1,0,21,2022-09-21 13:26:41.680,Admin,0,0,False,2147483647,,
12,0,MyController CP1 Installer Logged In,MyController CP1 Installer logged in,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,4,524,2022-09-21 13:26:41.697,True,2147483647,1,0,23,2022-09-21 13:26:41.697,Admin,0,0,False,2147483647,,
13,0,MyController CP1 System Restarted,MyController CP1 System restarted,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,4,529,2022-09-21 13:26:41.717,True,2147483647,1,0,28,2022-09-21 13:26:41.717,Admin,0,0,False,2147483647,,
14,0,MyController CP1 Cross-Controller Communication Fault,MyController CP1 Cross-controller communication fault,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,4,533,2022-09-21 13:26:41.743,True,2147483647,1,0,32,2022-09-21 13:26:41.743,Admin,0,0,False,2147483647,,
15,0,MyController PX1 Module Tamper,MyController PX1 Module tamper,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,1,933,2022-09-21 13:26:42.100,True,2147483647,5,0,0,2022-09-21 13:26:42.100,Admin,0,0,False,2147483647,,
16,0,MyController PX1 AC Failure,MyController PX1 AC failure,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,8,934,2022-09-21 13:26:42.123,True,2147483647,5,0,1,2022-09-21 13:26:42.123,Admin,0,0,False,2147483647,,
17,0,MyController PX1 Battery Low / Missing,MyController PX1 Battery low/missing,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,8,935,2022-09-21 13:26:42.143,True,2147483647,5,0,2,2022-09-21 13:26:42.143,Admin,0,0,False,2147483647,,
18,0,MyController PX1 Auxillary Fuse / Supply Fault,MyController PX1 Auxiliary fuse/supply fault,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,8,936,2022-09-21 13:26:42.160,True,2147483647,5,0,3,2022-09-21 13:26:42.160,Admin,0,0,False,2147483647,,
19,0,MyController PX1 Fire Control,MyController PX1 Fire control,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,8,937,2022-09-21 13:26:42.177,True,2147483647,5,0,4,2022-09-21 13:26:42.177,Admin,0,0,False,2147483647,,
20,0,MyController PX1 Module Communication Fault,MyController PX1 Module communication fault,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,2,940,2022-09-21 13:26:42.200,True,2147483647,5,0,7,2022-09-21 13:26:42.200,Admin,0,0,False,2147483647,,
21,0,MyController RD1 DR1 Door Forced Open,MyController RD1 DR1 Door forced open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,1,682,2022-09-21 13:26:45.333,True,2147483647,8,0,0,2022-09-21 13:26:42.580,Admin,0,0,False,2147483647,,
22,0,MyController RD1 DR1 Door Left Open,MyController RD1 DR1 Door left open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,2,684,2022-09-21 13:26:45.347,True,2147483647,8,0,1,2022-09-21 13:26:42.603,Admin,0,0,False,2147483647,,
23,0,MyController RD1 DR1 Door Duress,MyController RD1 DR1 Door duress,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,696,2022-09-21 13:26:45.360,True,2147483647,8,0,7,2022-09-21 13:26:42.627,Admin,0,0,False,2147483647,,
24,0,MyController RD1 DR2 Door Forced Open,MyController RD1 DR2 Door forced open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,1,683,2022-09-21 13:26:45.657,True,2147483647,8,1,0,2022-09-21 13:26:42.667,Admin,0,0,False,2147483647,,
25,0,MyController RD1 DR2 Door Left Open,MyController RD1 DR2 Door left open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,2,685,2022-09-21 13:26:45.670,True,2147483647,8,1,1,2022-09-21 13:26:42.680,Admin,0,0,False,2147483647,,
26,0,MyController RD1 DR2 Door Duress,MyController RD1 DR2 Door duress,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,697,2022-09-21 13:26:45.687,True,2147483647,8,1,7,2022-09-21 13:26:42.697,Admin,0,0,False,2147483647,,
27,0,MyController RD2 DR1 Door Forced Open,MyController RD2 DR1 Door forced open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,1,699,2022-09-21 13:26:42.737,True,2147483647,8,2,0,2022-09-21 13:26:42.737,Admin,0,2147483647,False,2147483647,,
28,0,MyController RD2 DR1 Door Left Open,MyController RD2 DR1 Door left open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,2,701,2022-09-21 13:26:42.753,True,2147483647,8,2,1,2022-09-21 13:26:42.753,Admin,0,2147483647,False,2147483647,,
29,0,MyController RD2 DR1 Door Duress,MyController RD2 DR1 Door duress,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,713,2022-09-21 13:26:42.770,True,2147483647,8,2,7,2022-09-21 13:26:42.770,Admin,0,2147483647,False,2147483647,,
30,0,MyController RD2 DR2 Door Forced Open,MyController RD2 DR2 Door forced open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,1,715,2022-09-21 13:26:42.813,True,2147483647,8,3,0,2022-09-21 13:26:42.813,Admin,0,2147483647,False,2147483647,,
31,0,MyController RD2 DR2 Door Left Open,MyController RD2 DR2 Door left open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,2,717,2022-09-21 13:26:42.830,True,2147483647,8,3,1,2022-09-21 13:26:42.830,Admin,0,2147483647,False,2147483647,,
32,0,MyController RD2 DR2 Door Duress,MyController RD2 DR2 Door duress,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,729,2022-09-21 13:26:42.847,True,2147483647,8,3,7,2022-09-21 13:26:42.847,Admin,0,2147483647,False,2147483647,,
33,0,MyController RD3 DR1 Door Forced Open,MyController RD3 DR1 Door forced open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,1,999,2022-09-21 13:26:42.887,True,2147483647,8,4,0,2022-09-21 13:26:42.887,Admin,0,2147483647,False,2147483647,,
34,0,MyController RD3 DR1 Door Left Open,MyController RD3 DR1 Door left open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,2,999,2022-09-21 13:26:42.903,True,2147483647,8,4,1,2022-09-21 13:26:42.903,Admin,0,2147483647,False,2147483647,,
35,0,MyController RD3 DR1 Door Duress,MyController RD3 DR1 Door duress,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,999,2022-09-21 13:26:42.923,True,2147483647,8,4,7,2022-09-21 13:26:42.923,Admin,0,2147483647,False,2147483647,,
36,0,MyController RD3 DR2 Door Forced Open,MyController RD3 DR2 Door forced open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,1,999,2022-09-21 13:26:42.963,True,2147483647,8,5,0,2022-09-21 13:26:42.963,Admin,0,2147483647,False,2147483647,,
37,0,MyController RD3 DR2 Door Left Open,MyController RD3 DR2 Door left open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,2,999,2022-09-21 13:26:42.980,True,2147483647,8,5,1,2022-09-21 13:26:42.980,Admin,0,2147483647,False,2147483647,,
38,0,MyController RD3 DR2 Door Duress,MyController RD3 DR2 Door duress,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,999,2022-09-21 13:26:43.000,True,2147483647,8,5,7,2022-09-21 13:26:43.000,Admin,0,2147483647,False,2147483647,,
39,0,MyController RD4 DR1 Door Forced Open,MyController RD4 DR1 Door forced open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,1,999,2022-09-21 13:26:43.047,True,2147483647,8,6,0,2022-09-21 13:26:43.047,Admin,0,2147483647,False,2147483647,,
40,0,MyController RD4 DR1 Door Left Open,MyController RD4 DR1 Door left open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,2,999,2022-09-21 13:26:43.070,True,2147483647,8,6,1,2022-09-21 13:26:43.070,Admin,0,2147483647,False,2147483647,,
41,0,MyController RD4 DR1 Door Duress,MyController RD4 DR1 Door duress,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,999,2022-09-21 13:26:43.093,True,2147483647,8,6,7,2022-09-21 13:26:43.093,Admin,0,2147483647,False,2147483647,,
42,0,MyController RD4 DR2 Door Forced Open,MyController RD4 DR2 Door forced open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,1,999,2022-09-21 13:26:43.150,True,2147483647,8,7,0,2022-09-21 13:26:43.150,Admin,0,2147483647,False,2147483647,,
43,0,MyController RD4 DR2 Door Left Open,MyController RD4 DR2 Door left open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,2,999,2022-09-21 13:26:43.187,True,2147483647,8,7,1,2022-09-21 13:26:43.187,Admin,0,2147483647,False,2147483647,,
44,0,MyController RD4 DR2 Door Duress,MyController RD4 DR2 Door duress,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,999,2022-09-21 13:26:43.210,True,2147483647,8,7,7,2022-09-21 13:26:43.210,Admin,0,2147483647,False,2147483647,,
45,0,MyController RD5 DR1 Door Forced Open,MyController RD5 DR1 Door forced open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,1,999,2022-09-21 13:26:43.310,True,2147483647,8,8,0,2022-09-21 13:26:43.310,Admin,0,2147483647,False,2147483647,,
46,0,MyController RD5 DR1 Door Left Open,MyController RD5 DR1 Door left open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,2,999,2022-09-21 13:26:43.340,True,2147483647,8,8,1,2022-09-21 13:26:43.340,Admin,0,2147483647,False,2147483647,,
47,0,MyController RD5 DR1 Door Duress,MyController RD5 DR1 Door duress,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,999,2022-09-21 13:26:43.360,True,2147483647,8,8,7,2022-09-21 13:26:43.360,Admin,0,2147483647,False,2147483647,,
48,0,MyController RD5 DR2 Door Forced Open,MyController RD5 DR2 Door forced open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,1,999,2022-09-21 13:26:43.413,True,2147483647,8,9,0,2022-09-21 13:26:43.413,Admin,0,2147483647,False,2147483647,,
49,0,MyController RD5 DR2 Door Left Open,MyController RD5 DR2 Door left open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,2,999,2022-09-21 13:26:43.430,True,2147483647,8,9,1,2022-09-21 13:26:43.430,Admin,0,2147483647,False,2147483647,,
50,0,MyController RD5 DR2 Door Duress,MyController RD5 DR2 Door duress,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,999,2022-09-21 13:26:43.450,True,2147483647,8,9,7,2022-09-21 13:26:43.450,Admin,0,2147483647,False,2147483647,,
51,0,MyController RD1 Reader 1 Tamper / Missing,MyController RD1 Reader 1 tamper/missing,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,1,688,2022-09-21 13:26:44.083,True,2147483647,4,0,11,2022-09-21 13:26:44.083,Admin,0,0,False,2147483647,,
52,0,MyController RD1 Reader 2 Tamper / Missing,MyController RD1 Reader 2 tamper/missing,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,1,689,2022-09-21 13:26:44.100,True,2147483647,4,0,12,2022-09-21 13:26:44.100,Admin,0,0,False,2147483647,,
53,0,MyController RD1 Door 1 Too Many Attempts,MyController RD1 Door 1 too many attempts,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,3,690,2022-09-21 13:26:44.117,True,2147483647,4,0,13,2022-09-21 13:26:44.117,Admin,0,0,False,2147483647,,
54,0,MyController RD1 Door 2 Too Many Attempts,MyController RD1 Door 2 too many attempts,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,3,691,2022-09-21 13:26:44.137,True,2147483647,4,0,14,2022-09-21 13:26:44.137,Admin,0,0,False,2147483647,,
55,0,MyController RD1 Module Communication Fault,MyController RD1 Module communication fault,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,2,692,2022-09-21 13:26:44.153,True,2147483647,4,0,15,2022-09-21 13:26:44.153,Admin,0,0,False,2147483647,,
56,1,CP1 12V Supply Failure,CP1 12V supply failure,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,1,502,2022-09-21 13:45:17.837,True,2147483647,1,0,1,2022-09-21 13:45:17.837,Admin,0,1,False,2147483647,,
57,1,CP1 Real Time Clock Not Set,CP1 Real time clock not set,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,3,504,2022-09-21 13:45:17.867,True,2147483647,1,0,3,2022-09-21 13:45:17.867,Admin,0,1,False,2147483647,,
58,1,CP1 Service Report Test,CP1 Service report test,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,505,2022-09-21 13:45:17.893,True,2147483647,1,0,4,2022-09-21 13:45:17.893,Admin,0,1,False,2147483647,,
59,1,CP1 ContactID Reporting Failure,CP1 Contact ID reporting failure,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,4,506,2022-09-21 13:45:17.913,True,2147483647,1,0,5,2022-09-21 13:45:17.913,Admin,0,1,False,2147483647,,
60,1,CP1 Phone Line Fault,CP1 Phone line fault,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,5,507,2022-09-21 13:45:17.937,True,2147483647,1,0,6,2022-09-21 13:45:17.937,Admin,0,1,False,2147483647,,
61,1,CP1 Auxillary Fuse / Supply Fault,CP1 Auxiliary fuse/supply fault,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,8,508,2022-09-21 13:45:17.960,True,2147483647,1,0,7,2022-09-21 13:45:17.960,Admin,0,1,False,2147483647,,
62,1,CP1 Bell Siren 1 Tamper / Cut,CP1 Bell siren 1 tamper/cut,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,9,509,2022-09-21 13:45:17.983,True,2147483647,1,0,8,2022-09-21 13:45:17.983,Admin,0,1,False,2147483647,,
63,1,CP1 Bell Siren 1 Current Overload,CP1 Bell siren 1 current overload,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,9,511,2022-09-21 13:45:18.007,True,2147483647,1,0,10,2022-09-21 13:45:18.007,Admin,0,1,False,2147483647,,
64,1,CP1 Module Communication Fault,CP1 Module communication fault,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,2,513,2022-09-21 13:45:18.033,True,2147483647,1,0,12,2022-09-21 13:45:18.033,Admin,0,1,False,2147483647,,
65,1,CP1 Module Security Violation,CP1 Module security violation,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,3,514,2022-09-21 13:45:18.060,True,2147483647,1,0,13,2022-09-21 13:45:18.060,Admin,0,1,False,2147483647,,
66,1,CP1 ReportIP Reporting Failure,CP1 Report IP reporting failure,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,4,520,2022-09-21 13:45:18.083,True,2147483647,1,0,19,2022-09-21 13:45:18.083,Admin,0,1,False,2147483647,,
67,1,CP1 ModBUS Communication Failure,CP1 Modbus communication failure,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,4,522,2022-09-21 13:45:18.110,True,2147483647,1,0,21,2022-09-21 13:45:18.110,Admin,0,1,False,2147483647,,
68,1,CP1 Installer Logged In,CP1 Installer logged in,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,4,524,2022-09-21 13:45:18.133,True,2147483647,1,0,23,2022-09-21 13:45:18.133,Admin,0,1,False,2147483647,,
69,1,CP1 System Restarted,CP1 System restarted,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,4,529,2022-09-21 13:45:18.160,True,2147483647,1,0,28,2022-09-21 13:45:18.160,Admin,0,1,False,2147483647,,
70,1,CP1 Cross-Controller Communication Fault,CP1 Cross-controller communication fault,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,4,533,2022-09-21 13:45:18.187,True,2147483647,1,0,32,2022-09-21 13:45:18.187,Admin,0,1,False,2147483647,,
71,1,RD1 DR1 Door Forced Open,RD1 DR1 Door forced open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,1,698,2022-09-21 13:45:18.543,True,2147483647,8,10,0,2022-09-21 13:45:18.543,Admin,0,2147483647,False,2147483647,,
72,1,RD1 DR1 Door Left Open,RD1 DR1 Door left open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,2,700,2022-09-21 13:45:18.570,True,2147483647,8,10,1,2022-09-21 13:45:18.570,Admin,0,2147483647,False,2147483647,,
73,1,RD1 DR1 Door Duress,RD1 DR1 Door duress,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,712,2022-09-21 13:45:18.607,True,2147483647,8,10,7,2022-09-21 13:45:18.607,Admin,0,2147483647,False,2147483647,,
74,1,RD1 DR2 Door Forced Open,RD1 DR2 Door forced open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,1,714,2022-09-21 13:45:18.683,True,2147483647,8,11,0,2022-09-21 13:45:18.683,Admin,0,2147483647,False,2147483647,,
75,1,RD1 DR2 Door Left Open,RD1 DR2 Door left open,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,3,2,716,2022-09-21 13:45:18.717,True,2147483647,8,11,1,2022-09-21 13:45:18.717,Admin,0,2147483647,False,2147483647,,
76,1,RD1 DR2 Door Duress,RD1 DR2 Door duress,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,728,2022-09-21 13:45:18.793,True,2147483647,8,11,7,2022-09-21 13:45:18.793,Admin,0,2147483647,False,2147483647,,
